ཀ་བ་	столб	kaba
གཅིག་	один	gcig
གཉིས་	два	gnyis
དང་	и, с	dang
དེང་སང་	в настоящее время	deng sang
ཡང་	тоже, также	yang
རེ་རེ་	каждый	re re
སོག་པོ་	монгол	sog po
གསུམ་	три	gsum
ཁྱེད་རང་, ཁྱེད་	ты	khyed rang
ཁྱི་	собака	khyi
ཀུ་ཤུ་	яблоко	ku shu
ག་གི	который	ga gi
ཆོས	дхарма, учение		chos
ཆོས་ལུགས་	религия	chos lugs
བྱ 	птица	bya
བྱི་འུ་	птичка (размером с воробья)	byi ‘u
བྱང་ཕྱོགས་	север	byang phyogs
དབྱིན་ཇི	Англия	dbyin ji
ནང་མི	член семьи, домочадец, семья	nang mi
ཡིག་/ཡི་གེ	буква, письменность, письмо	yig / yige
ནུབ་ཕྱོགས་ 	запад 	nub phyogs
ཤར་ཕྱོགས	восток	shar phyogs
བཀྲ་ཤིས་བདེ་ལེགས	здравствуйте	bkra shis bde legs 
དེ་རིང་	 сегодня	de ring
ག་འདྲ	 / ག་འདྲ་ཟེ	 Как? Каким образом?	ga 'dra / ga 'dra ze
 དེ་འདྲ	 такой	de 'dra 
དགུན་ཁ་	 зима	dgun kha
དྲོ་པོ	 теплый	dro po
དགོངས་པ་མ་འཚོམ་	 извините 	dgongs pa ma 'chom
ནང་	 внутри	nang
དགོང་དྲོ	 вечер	dgong dro
གནམ་གཤིས	 погода	gnam gshis
གྲང་མོ	 холодный 	grang mo
དཔྱིད་ཀ весна	dpyid ka
གྲོགས་པོ	 друг 	grogs po
ཕལ་ཆེར	 вероятно, наверное	phal cher
གྲོང་ཁྱེར	 город 	grong khyer
དབྱར་ཁ	 лето	dbyar kha
གྲོང་ཚ􀱋	 / གྲོང་གསེབ	 поселок, населенный пункт/ деревня 	grong tsho
འབྲོག་པ	 кочевник-скотовод	‘brog pa
ཉེ་པོ	 близкий 	nye po
འབྲི	 ячиха	'bri
ཐག་ཉེ་པོ	 близко (по расстоянию)	thag nye po
མཚན་མོ	 ночь	mtshan mo
ཐག་རིང་པོ	 далеко (по расстоянию)	thag ring po
རིང་པོ	 длинный	ring po
ཐུང་ཐུང་	 короткий 	thung thung
ས་ཁུལ་	 район, регион	sa khul
ད་གིན	 только что 	da gin
སང་ཉིན	 завтра	sang nyin
ད་དུང་ ་	 еще, к тому же	da dung
ཁྲ་འབྲུག་དགོན་པ		монастырь Традруг 	khra 'brug dgon pa
གནས་མཇལ་བ	паломник	gnas mjal ba
ཁྲོམ	 рынок 	khrom
ཕོ་བྲང	 дворец	pho brang
ག་དུས་	 когда? 	ga dus
པོ་ཏ་ལ	 Потала	po ta la
གུང་སེང་	 выходной, отпуск, каникулы	gung seng
 ཞོགས་པ	 утро	zhogs pa
གླིང་ཁ	 парк 	gling kha
སློབ་གྲྭ་	 школа	slob grwa
ཆམ་ཆམ	 прогулка 	cham cham
སློབ་དེབ་	 учебник	slob deb
ནག་ཆུ་	 Нагчу, район в Тибете	nag chu
སློབ་ཕྲུག	учащиеся	slob phrug
ད་རེས་	 этот раз, на этот раз 	da res
སློབ་ཚན་	 урок	slob tshan
གནས་མཇལ	 паломничество	gnas mjal
སྐུ་	тело (Будды, просветленных)	sku
སྒྲོལ་དཀར་ 	Белая Тара	sgrol dkar
སྒྲོལ་ལྗང་	Зеленая Тара	sgrol ljang
ང་རྒྱལ་ 	гордость	nga rgyal
གཏི་མུག་	тупость, безразличие	gti mug
རྟག་པ་	постоянство	rtag pa
སྟོང་པ་ 	пустота	stong pa
ཐུགས་	 ум (Будды, просветленных)	thugs
ཐུགས་རྗེ་	сострадание	thugs rje
འདོད་ཆགས་ 	страсть, страстная привязанность	'dod chags
རྡོ་རྗེ་ 	ваджра	rdo rje
སྡུག་བསྔལ་ 	страдание	sdug bsngal
ཕྲག་དོག་ зависть, соперничество	phrag dog
བོན་ Бон (религия)	bon
མི་རྟག་པ་ 	непостоянство	mi rtag pa
ཞེ་སྡང་ 	ненависть, гнев	zhe sdang
སངས་རྒྱས་ 	Будда	sangs rgyas
གསུང་ 	речь (почтительная форма слова)	gsung
ལྷ་ 	божество	lha
གཏོང་ 	посылать, направлять	gtong
བྱེད་	делать	byed
སྐད་	разговор, речь, голос	skad
བོད་སྐད་ 	тибетский разговорный язык	bod skad
སྒོམ་	медитация	sgom
ལན་	ответ	lan
ལན་རྒྱབ་	отвечать	lan rgyab
ཁ་པར་བཏང	звонить по телефону	kha par btang
གྲོགས་པོ་བྱེད་	дружить	grogs po byed
སྒོམ་རྒྱབ་	медитировать	sgom rgyab
མོ་ཊ་བཏང་	водить машину	mo ta btang
བཟོ	делать, создавать	bzo
ཡོང	приходить	yong
ལས་ཀ་བྱེད་	работать	las ka byed
􀮔ད་གྲགས་ཅན	знаменитый, известный 	skad grags can
ད་ལོ	 этот год	da lo
མཁར	 башня 	mkhar
དང་པོ	 первый	dang po
གངས་ལྗོངས་	 страна снегов, Тибет	gangs ljongs 
ན་ནིང་	 прошлый год	na ning
གྲྭ་པ	 монах (только о мужчинах) 	grwa pa
གནའ་ཤུལ་	 культурное наследие, памятники старины	gna' shul
དགའ་ལྡན་དགོན་པ་	 монастырь Ганден 	dga' ldan dgon pa
ཕྱི་རྒྱལ་ཁབ་	 заграница	phyi rgyal khab
དགའ་པོ་	 любить, радоваться, иметь симпатию	dga' po
ཕྱི་རྒྱལ་བ་	иностранец	phyi rgyal ba
མགྲོན་ཁང་	 гостиница	mgron khang
བང་སོ	 гробница	bang so
རྒྱ་གར་	 Индия 	rgya gar
བོད་རང་སྐྱོང་ལྗོངས་	Тибетский Автономный район	bod rang skyong ljongs
རྒྱལ་ཁབ་	 государство	rgyal khab
 བཙན་པོ	 правитель	btsan po
རྒྱལ་པོ་	 царь 	rgyal po
གཞིས་ཀ་རྩེ་	Шигадзе	gzhis ka rtse
རྒྱལ་ས་	 столица, крупный город	rgyal sa
ལོ་རྒྱུས་	 история	lo rgyus
འཆར་གཞི	 план, программа	'char gzhi
ལོ་རྗེས་མ་		следующий год	lo rjes ma
སྟག་	тигр	stag
ལྷ་ཁང་	 храм	lha khang
སྟོན་ཁ་	 осень	ston kha
ལྷ་ས་	 Лхаса		lha sa
ད་ལྟ་	 сейчас 	da lta
ལྷོ་ཁ་	 Хлока, район Тибета	lho kha
ཀློག	читать	klog
ལྗགས་ཀློག	читать (почтит.)	ljags klog
ལྗགས་	язык (анатом.)	ljags
བཏུང་ ་	пить	btung
མཆོད་	пить, есть (почтит.)	mchod
བསྡད་ ་	жить, сидеть, находиться	bsdad
བཞུགས་	жить, сидеть (почтит.)	bzhugs
